"MARKER1","MARKER2","POSITION"
425,M13697,0.00
522,M16657,2.43
497,M15932,4.40
242,M8363,5.68
763,M24697,7.92
255,M8697,8.71
1219,M38911,9.42
861,M28182,11.51
524,M16807,12.76
1398,M44816,15.40
1303,M41586,16.24
878,M28688,17.75
1260,M40222,18.61
1301,M41544,19.16
1010,M33013,19.16
829,M27160,19.83
836,M27413,19.83
1022,M33352,20.17
1015,M33136,20.84
502,M16133,21.39
1318,M42137,22.49
669,M21008,24.58
934,M30363,25.40
1405,M45175,25.41
866,M28299,26.26
823,M26980,26.52
1088,M35408,26.52
70,M2345,27.46
1134,M36546,28.76
1316,M42091,28.76
290,M9825,29.77
1401,M45056,30.45
1082,M35142,30.78
118,M3501,32.08
1275,M40662,33.01
1106,M35848,34.14
300,M10044,35.00
830,M27175,35.92
538,M17046,39.04
1108,M35962,39.61
1203,M38572,40.18
1159,M37079,40.82
1356,M43556,42.90
472,M15172,51.57
1175,M37751,52.78
71,M2348,54.87
957,M31238,59.71
4,M102,62.06
978,M31950,74.12
1210,M38793,77.46
1338,M42965,79.53
176,M5625,81.82
1363,M43687,85.93
698,M21990,90.87
626,M19499,97.54
262,M8953,103.30
220,M7646,107.47
1211,M38799,113.64
1140,M36660,117.13
1070,M34659,117.55
791,M25877,119.90
342,M11505,127.75
